GENE	LOEUF	pLI
VSIG10L	1.02	0
ETFB	0.82	0.02
CLDND2	1.78	0
NKG7	1.69	0
LIM2	1.28	0
C19orf84	1.82	0.35
SIGLEC10	0.64	0
SIGLEC8	1.06	0
CEACAM18	1.7	0
SIGLEC12	1.23	0
SIGLEC6	0.7	0.01
ZNF175	0.91	0
AC018755.1	1.44	0.02
SIGLEC5	0.98	0
SIGLEC5	0.98	0
SIGLEC14	0.89	0
HAS1	1.38	0
FPR1	NA	 NA
FPR2	1.7	0.4
FPR3	NA	 NA
ZNF577	1.07	0
ZNF649	0.95	0.07
ZNF613	0.71	0
ZNF350	0.84	0
ZNF615	1	0
ZNF614	1.01	0
ZNF432	1.15	0
ZNF841	1.4	0.02
ZNF616	1.81	0.01
ZNF836	1.96	0
PPP2R1A	0.3	0.98
ZNF766	1.87	0
ZNF480	1.22	0.04
ZNF610	1.76	0
ZNF880	1.69	0
ZNF528	1.67	0
ZNF534	1.89	0
ZNF578	1.86	0
ZNF808	1.21	0.29
ZNF701	1.95	0
ZNF83	NA	 NA
ZNF611	1.51	0.07
ZNF600	NA	 NA
ZNF28	1.83	0.01
ZNF468	1.94	0
ZNF320	1.46	0.22
ZNF321P	1.87	0
ZNF816	1.92	0
ERVV-1	NA	 NA
ERVV-2	NA	 NA
ZNF160	1.32	0.03
ZNF415	1.47	0.22
ZNF347	1.86	0
ZNF665	1.8	0.01
ZNF677	1.1	0
VN1R2	NA	 NA
VN1R4	NA	 NA
BIRC8	NA	 NA
ZNF845	1.9	0
ZNF525	1.41	0.23
ZNF765	1.96	0
ZNF813	0.92	0.64
ZNF331	0.29	0.98
CTB-167G5.5	1.7	0
DPRX	1.95	0
NLRP12	1.35	0
MYADM	1.42	0.01
PRKCG	0.2	1
CACNG7	0.41	0.89
CACNG8	0.29	0.96
CACNG6	1.69	0
VSTM1	1.41	0
TARM1	1.54	0
OSCAR	1.48	0
NDUFA3	1.47	0.07
TFPT	1.12	0
PRPF31	0.3	0.98
CNOT3	0.08	1
LENG1	1.74	0
TMC4	1	0
MBOAT7	0.58	0.11
TSEN34	0.58	0.36
RPS9	0.43	0.88
LILRB3	0.83	0
LILRA6	0.91	0
LILRB5	1.43	0
LILRB2	1.12	0
LILRA5	1.49	0
LILRA4	1.45	0
LAIR1	1.21	0
TTYH1	0.25	1
LENG8	0.25	1
LENG9	NA	 NA
CDC42EP5	1.85	0.32
LAIR2	1.88	0
LILRA2	1.75	0
LILRA1	1.61	0
LILRB1	1.05	0
AC009892.10	1.95	0.01
LILRB4	1.34	0
KIR3DL3	1.73	0
KIR2DL3	1.61	0
KIR2DL1	1.88	0
KIR2DL4	1.15	0.04
KIR3DL1	1.78	0
KIR3DL2	1.87	0
FCAR	1.63	0
NCR1	1.45	0
NLRP7	1.02	0
NLRP2	1.49	0
GP6	1.61	0
RDH13	1.81	0
EPS8L1	1.03	0
PPP1R12C	0.43	0.09
TNNT1	1.48	0
TNNI3	0.69	0.1
AC010327.2	NA	 NA
DNAAF3	0.99	0
SYT5	0.84	0
PTPRH	1.18	0
TMEM86B	1.91	0
PPP6R1	0.3	0.98
HSPBP1	0.65	0.06
BRSK1	0.2	1
TMEM150B	1.72	0
SUV420H2	0.44	0.55
COX6B2	1.7	0
AC020922.1	NA	 NA
FAM71E2	0.89	0
IL11	1.49	0
TMEM190	1.5	0
TMEM238	1.89	0.29
RPL28	0.62	0.77
UBE2S	0.64	0.63
SHISA7	0.47	0.85
ISOC2	1.55	0
ZNF628	0.36	0.91
NAT14	1.8	0.01
SSC5D	1.11	0
SBK2	1.64	0
SBK3	1.69	0
ZNF579	0.46	0.84
FIZ1	0.59	0.53
ZNF524	1.4	0.08
ZNF865	0.16	1
ZNF784	0.52	0.83
ZNF580	1.25	0.53
ZNF581	1.31	0.09
CCDC106	0.94	0.03
U2AF2	0.13	1
EPN1	0.39	0.79
NLRP9	1.31	0
RFPL4A	1.74	0.04
RFPL4AL1	1.47	0.22
NLRP11	0.8	0
NLRP4	0.78	0
NLRP13	0.96	0
NLRP8	1.26	0
NLRP5	0.8	0
ZNF787	0.42	0.89
ZNF444	0.45	0.87
AC024580.1	1.12	0.13
GALP	1.7	0
ZSCAN5B	1.87	0
ZSCAN5C	1.6	0
ZSCAN5A	0.96	0.01
ZSCAN5D	1.79	0
ZNF582	1.75	0
ZNF583	0.61	0.01
ZNF667	0.85	0
ZNF471	0.87	0
ZFP28	0.57	0
ZNF470	1.55	0
ZNF71	1.22	0
SMIM17	1.62	0.01
ZNF835	NA	 NA
ZIM2	0.84	0
PEG3	0.51	0
USP29	NA	 NA
ZIM3	1.48	0
DUXA	1.51	0
ZNF264	0.99	0
AURKC	0.73	0.08
ZNF805	0.47	0.39
ZNF460	0.8	0.68
ZNF543	1.68	0
ZNF304	0.62	0.03
ZNF547	1.81	0.01
TRAPPC2P1	1.85	0.03
AC003002.4	1.81	0.01
ZNF548	1.07	0.34
AC003002.6	1.04	0.35
AC004076.7	1.74	0.39
ZNF17	1.4	0.23
ZNF749	1.68	0.05
AC004076.9	1.45	0
VN1R1	NA	 NA
ZNF772	0.91	0
ZNF419	1.48	0.01
ZNF773	1.45	0
ZNF549	1.71	0
ZNF550	1.85	0
ZNF416	1	0.37
ZIK1	1.92	0
ZNF530	1.83	0.01
ZNF134	1.32	0
ZNF211	1.68	0
ZSCAN4	1.62	0
ZNF551	1.62	0.06
AC003006.7	1.84	0.01
ZNF154	1.23	0
ZNF671	1.88	0
ZNF776	1.85	0.01
ZNF586	1.79	0.04
ZNF552	1.91	0
CTD-2583A14.10	1.82	0.01
ZNF587B	1.81	0
ZNF814	1.72	0.04
ZNF587	1.67	0.05
ZNF417	1.85	0.01
ZNF418	1.53	0
ZNF256	1.88	0.01
C19orf18	1.59	0
ZNF606	0.42	0.42
CTD-2368P22.1	1.62	0
ZSCAN1	1.59	0
ZNF135	1.09	0
ZSCAN18	0.67	0.05
ZNF329	0.91	0
ZNF274	0.47	0.15
ZNF544	1.58	0
ZNF8	0.69	0.02
ZNF8	0.69	0.02
ZSCAN22	1.21	0
A1BG	1.21	0
ZNF497	NA	 NA
ZNF837	1.68	0
RPS5	0.32	0.95
AC012313.1	1.85	0.03
ZNF584	1.12	0
ZNF132	1.28	0
ZNF324B	1.1	0
ZNF324	0.61	0.04
ZNF446	1.11	0
SLC27A5	1.21	0
ZBTB45	1.13	0
TRIM28	0.08	1
CHMP2A	0.8	0.13
UBE2M	0.49	0.8
MZF1	1.08	0
FAM110C	1.86	0
SH3YL1	1.11	0
ACP1	1.8	0
FAM150B	1.27	0.03
TMEM18	1.32	0
SNTG2	1.12	0
TPO	1.11	0
PXDN	0.52	0
MYT1L	0.09	1
TSSC1	0.57	0.06
TRAPPC12	1.19	0
ADI1	1.69	0
RP13-512J5.1	1.7	0.16
RNASEH1	0.74	0.01
RPS7	0.31	0.95
COLEC11	0.82	0.02
ALLC	1.48	0
DCDC2C	0.99	0
SOX11	0.44	0.86
CMPK2	1.44	0
RSAD2	1.81	0
RNF144A	0.35	0.95
ID2	0.83	0.67
KIDINS220	0.35	0.07
MBOAT2	0.42	0.52
ASAP2	0.22	1
ITGB1BP1	1.14	0
CPSF3	0.7	0
IAH1	0.91	0
ADAM17	0.28	1
YWHAQ	0.5	0.7
TAF1B	1.02	0
GRHL1	0.43	0.24
KLF11	1.47	0
CYS1	1.85	0.11
AC104794.4	1.43	0.02
RRM2	0.41	0.75
C2orf48	1.19	0.3
HPCAL1	0.42	0.89
ODC1	0.54	0.17
NOL10	0.43	0.05
ATP6V1C2	0.94	0
PDIA6	0.47	0.25
AC092687.4	1.53	0.06
KCNF1	0.66	0.25
C2orf50	1.74	0
PQLC3	1.82	0
ROCK2	0.21	1
E2F6	0.68	0.1
GREB1	0.48	0
NTSR2	1.09	0
LPIN1	0.73	0
TRIB2	0.24	0.98
AC011897.1	1.52	0
FAM84A	0.42	0.89
NBAS	0.78	0
DDX1	0.28	0.99
AC008271.1	1.27	0.1
MYCN	0.41	0.89
FAM49A	0.53	0.21
RAD51AP2	1.18	0
VSNL1	0.63	0.46
SMC6	0.49	0
GEN1	0.95	0
MSGN1	1.47	0.07
KCNS3	0.91	0
RDH14	1.79	0
NT5C1B-RDH14	0.95	0
NT5C1B	0.98	0
OSR1	0.46	0.86
TTC32	1.28	0.03
WDR35	0.81	0
MATN3	1.25	0
LAPTM4A	0.88	0
SDC1	0.96	0.01
PUM2	0.28	0.99
RHOB	1.16	0.12
HS1BP3	1.22	0
GDF7	0.64	0.63
C2orf43	0.92	0
APOB	0.46	0
TDRD15	0.53	0
KLHL29	0.3	0.99
AC011239.1	1.9	0.02
ATAD2B	0.15	1
UBXN2A	1.41	0
MFSD2B	1.21	0
C2orf44	0.78	0
FKBP1B	0.95	0.39
SF3B14	0.68	0.59
FAM228B	1.28	0
TP53I3	1.66	0
PFN4	1.41	0
FAM228A	1.08	0.02
ITSN2	0.49	0
NCOA1	0.25	1
PTRHD1	1.94	0
CENPO	1.3	0
ADCY3	0.68	0
DNAJC27	0.89	0
EFR3B	0.44	0.02
POMC	1.38	0
DNMT3A	1.58	0
DTNB	0.79	0
ASXL2	0.15	1
KIF3C	0.29	0.99
RAB10	0.27	0.97
GAREML	0.49	0.44
HADHA	0.62	0
HADHB	1.04	0
GPR113	1.14	0
EPT1	0.44	0.64
DRC1	1.04	0
OTOF	0.88	0
C2orf70	1.58	0
CIB4	1.55	0
KCNK3	0.4	0.9
SLC35F6	1.11	0
CENPA	1.19	0.01
DPYSL5	0.11	1
MAPRE3	0.49	0.72
TMEM214	0.8	0
AGBL5	0.68	0
OST4	1.74	0.39
EMILIN1	0.51	0
KHK	1.45	0
CGREF1	1.87	0
ABHD1	1.91	0
PREB	0.73	0
C2orf53	1.79	0
TCF23	1.61	0
SLC5A6	0.53	0.01
ATRAID	1.12	0
CAD	0.25	1
SLC30A3	0.51	0.54
DNAJC5G	1.55	0
TRIM54	1.69	0
UCN	1.56	0.45
MPV17	1.79	0
GTF3C2	0.28	0.99
EIF2B4	0.33	0.96
SNX17	0.58	0
ZNF513	0.41	0.82
PPM1G	0.33	0.96
NRBP1	0.14	1
KRTCAP3	1.45	0
IFT172	0.76	0
FNDC4	0.42	0.88
GCKR	1.15	0
AC109829.1	1.13	0
C2orf16	1	0
ZNF512	0.31	0.98
CCDC121	0.69	0.73
GPN1	0.76	0
SUPT7L	0.67	0.05
SLC4A1AP	0.79	0
AC074091.13	1.48	0.21
MRPL33	1.01	0.37
RBKS	1.53	0
BRE	0.47	0.17
FOSL2	0.24	0.98
PLB1	1.23	0
PPP1CB	0.15	1
SPDYA	0.51	0.55
TRMT61B	1.01	0
WDR43	0.16	1
FAM179A	1.07	0
C2orf71	1.11	0
CLIP4	0.8	0
ALK	0.45	0
YPEL5	0.83	0.46
LBH	1.63	0.01
LCLAT1	0.82	0
CAPN13	1.13	0
GALNT14	1.1	0
CAPN14	1.11	0
EHD3	0.6	0.04
XDH	0.86	0
MEMO1	0.24	0.99
DPY30	0.98	0.18
SPAST	0.22	1
SLC30A6	0.87	0
NLRC4	0.92	0
YIPF4	0.77	0.06
BIRC6	0.1	1
TTC27	0.78	0
LTBP1	0.47	0
RASGRP3	0.51	0.01
FAM98A	0.41	0.55
CRIM1	0.24	1
FEZ2	1.47	0
AC007401.2	1.94	0
VIT	1.59	0
STRN	0.36	0.66
HEATR5B	0.63	0
GPATCH11	1.18	0
EIF2AK2	0.52	0.02
SULT6B1	1.96	0
CEBPZ-AS1	1.74	0.01
CEBPZ	0.57	0
NDUFAF7	1.58	0
PRKD3	0.46	0.01
QPCT	1.53	0
CDC42EP3	0.96	0.19
RMDN2	1.56	0
CYP1B1	1.18	0
ATL2	0.5	0.01
HNRNPLL	0.35	0.92
GALM	1.5	0
SRSF7	0.3	0.98
GEMIN6	1.76	0
DHX57	0.68	0
MORN2	1.72	0.15
ARHGEF33	0.6	0
AC019171.1	1.62	0.06
SOS1	0.14	1
CDKL4	1.67	0
MAP4K3	0.37	0.11
TMEM178A	0.51	0.67
THUMPD2	1.19	0
SLC8A1	0.27	1
C2orf91	1.61	0
PKDCC	0.99	0
EML4	0.46	0
COX7A2L	1.9	0
KCNG3	0.64	0.27
MTA3	0.52	0.03
OXER1	1.98	0
HAAO	1.14	0
ZFP36L2	0.28	0.97
THADA	0.97	0
PLEKHH2	0.94	0
DYNC2LI1	1.13	0
ABCG5	1.39	0
ABCG8	1.36	0
LRPPRC	0.53	0
PPM1B	0.66	0.01
SLC3A1	1.62	0
PREPL	0.99	0
CAMKMT	1.52	0
SIX3	0.32	0.95
SIX2	0.34	0.94
SRBD1	0.98	0
PRKCE	0.2	1
EPAS1	0.38	0.6
TMEM247	1.66	0
ATP6V1E2	1.23	0
RHOQ	0.44	0.86
PIGF	1.26	0
CRIPT	1.58	0
LINC01118	1.94	0
SOCS5	0.47	0.54
LINC01119	1.91	0
MCFD2	1.27	0.1
TTC7A	1.28	0
C2orf61	1.14	0
CALM2	0.37	0.92
EPCAM	1.16	0
MSH2	0.33	0.9
KCNK12	0.37	0.92
MSH6	0.5	0
FBXO11	0.1	1
FOXN2	0.48	0.5
PPP1R21	0.69	0
STON1	1.12	0
STON1-GTF2A1L	1.09	0
GTF2A1L	1.27	0
LHCGR	0.89	0
FSHR	1.22	0
NRXN1	0.25	1
GPR75-ASB3	0.9	0
ASB3	0.9	0
CHAC2	1.84	0
ERLEC1	0.74	0
GPR75	1.23	0
PSME4	0.18	1
ACYP2	1.84	0
TSPYL6	NA	 NA
C2orf73	1.62	0
SPTBN1	0.09	1
EML6	0.45	0
RTN4	0.4	0.45
CLHC1	1.36	0
RPS27A	0.37	0.92
MTIF2	0.84	0
CCDC88A	0.13	1
CCDC104	0.85	0
SMEK2	0.37	0.71
PNPT1	0.47	0
EFEMP1	0.15	1
CCDC85A	0.89	0
VRK2	1.04	0
FANCL	1.61	0
BCL11A	0.32	0.97
PAPOLG	0.27	1
REL	0.23	1
PUS10	1.04	0
PEX13	1.01	0
KIAA1841	0.69	0
C2orf74	1.11	0.13
AHSA2	1.64	0
USP34	0.09	1
XPO1	0.05	1
FAM161A	1.01	0
CCT4	0.22	1
COMMD1	0.89	0.22
B3GNT2	0.41	0.89
TMEM17	1.26	0.01
EHBP1	0.35	0.31
OTX1	0.44	0.86
WDPCP	0.78	0
MDH1	0.37	0.93
UGP2	1.12	0
VPS54	0.25	1
PELI1	0.51	0.39
LGALSL	1.04	0.02
AFTPH	0.14	1
SERTAD2	0.43	0.88
SLC1A4	0.64	0.07
CEP68	0.44	0.52
RAB1A	0.47	0.82
ACTR2	0.2	1
SPRED2	1.07	0
MEIS1	0.14	1
ETAA1	0.52	0.01
C1D	1.24	0.03
WDR92	0.67	0.01
PNO1	0.67	0.23
PPP3R1	0.66	0.41
CNRIP1	1.03	0.16
PLEK	0.78	0
FBXO48	1.76	0
APLF	1.53	0
PROKR1	1.78	0
ARHGAP25	0.34	0.95
BMP10	0.39	0.91
GKN2	1.22	0
GKN1	1.7	0
ANTXR1	0.3	0.99
GFPT1	0.34	0.9
NFU1	1.23	0
AAK1	0.13	1
ANXA4	1.02	0
GMCL1	0.75	0
SNRNP27	1.01	0
MXD1	0.67	0.23
AC019206.1	1.9	0.28
ASPRV1	1.29	0.01
PCBP1	0.39	0.91
C2orf42	0.58	0.01
TIA1	0.44	0.27
PCYOX1	1.49	0
SNRPG	0.56	0.8
FAM136A	1.73	0
TGFA	0.56	0.72
ADD2	0.27	1
FIGLA	1.32	0
CLEC4F	1.31	0
CD207	1.29	0
VAX2	1.03	0.16
ATP6V1B1	0.95	0
AC007040.11	1.13	0
TEX261	1.13	0
ANKRD53	1.36	0
NAGK	1.22	0
MCEE	1.34	0.03
MPHOSPH10	0.36	0.85
PAIP2B	1.45	0
ZNF638	0.17	1
DYSF	0.73	0
CYP26B1	0.29	0.98
EXOC6B	0.4	0.12
SPR	1.14	0.04
EMX1	0.41	0.9
SFXN5	0.77	0
RAB11FIP5	0.74	0
NOTO	1.33	0
SMYD5	0.57	0.01
PRADC1	1.53	0
CCT7	0.3	0.98
FBXO41	0.21	1
EGR4	1.02	0.01
ALMS1	0.87	0
NAT8	NA	 NA
TPRKB	1.31	0.01
DUSP11	1.09	0
C2orf78	0.83	0
STAMBP	0.76	0
ACTG2	0.63	0.07
DGUOK	1.19	0
TET3	0.09	1
MGC10955	NA	 NA
BOLA3	1.06	0.15
MOB1A	0.32	0.95
MTHFD2	0.81	0
SLC4A5	0.75	0
DCTN1	0.36	0.08
C2orf81	0.8	0.13
WDR54	1.31	0
RTKN	0.76	0
INO80B	0.47	0.76
WBP1	1.41	0
MOGS	0.96	0
MRPL53	1.22	0.28
CCDC142	0.95	0
TTC31	1.31	0
LBX2	1.44	0.01
PCGF1	0.17	1
TLX2	0.83	0.25
DQX1	1.14	0
AUP1	0.76	0
HTRA2	0.76	0
LOXL3	0.86	0
DOK1	0.64	0.03
M1AP	1.41	0
SEMA4F	0.92	0
HK2	0.48	0
POLE4	1.68	0
TACR1	0.91	0
EVA1A	1.53	0.07
MRPL19	0.74	0.03
GCFC2	1.17	0
LRRTM4	0.55	0.09
REG3G	1.77	0
REG1B	1.61	0
REG1A	1.54	0
REG3A	1.3	0
CTNNA2	0.38	0.43
LRRTM1	0.49	0.59
SUCLG1	0.88	0
DNAH6	0.57	0
TRABD2A	1.28	0
TMSB10	1.92	0.02
KCMF1	0.3	0.98
TCF7L1	0.45	0.36
TGOLN2	0.95	0
RETSAT	1.11	0
ELMOD3	1.61	0
CAPG	1.46	0
SH2D6	1.65	0
MAT2A	0.16	1
GGCX	0.93	0
VAMP8	1.24	0.11
VAMP5	1.73	0.01
RNF181	1.79	0
TMEM150A	0.77	0.02
USP39	0.54	0.01
C2orf68	1.71	0
SFTPB	0.72	0
GNLY	1.86	0
ATOH8	0.38	0.91
ST3GAL5	0.76	0
POLR1A	0.26	1
PTCD3	1.08	0
IMMT	0.47	0.01
MRPL35	1.29	0
REEP1	0.23	0.99
KDM3A	0.22	1
CHMP3	0.89	0
RNF103-CHMP3	0.89	0
RNF103	0.36	0.9
RMND5A	0.38	0.9
CD8A	1.5	0
CD8B	1.43	0
RGPD1	1.37	0.01
PLGLB1	1.92	0.07
PLGLB2	1.88	0.3
RGPD2	1.47	0
KRCC1	1.28	0
SMYD1	0.97	0
FABP1	1.91	0
THNSL2	1.02	0
TEX37	1.91	0
EIF2AK3	0.45	0
RPIA	0.89	0
TEKT4	1.55	0
MAL	0.51	0.83
MRPS5	0.69	0
ZNF514	1.42	0
ZNF2	0.64	0.03
PROM2	0.85	0
KCNIP3	0.7	0.04
FAHD2A	1.2	0
TRIM43	0.92	0.01
GPAT2	1.12	0
ADRA2B	1.22	0
ASTL	1.13	0
DUSP2	1.61	0
STARD7	0.48	0.47
TMEM127	1.15	0.01
CIAO1	0.76	0
SNRNP200	0.08	1
ITPRIPL1	1.37	0
NCAPH	0.57	0
ARID5A	0.35	0.95
KANSL3	0.16	1
LMAN2L	1.29	0
CNNM4	0.94	0
CNNM3	0.97	0
ANKRD23	1.88	0
ANKRD39	1.21	0
SEMA4C	0.12	1
FAM178B	0.93	0
FAHD2B	1.36	0
ANKRD36	1.43	0
COX5B	0.44	0.87
ACTR1B	0.68	0
ZAP70	0.36	0.88
TMEM131	0.24	1
VWA3B	0.94	0
AC092675.3	1.73	0.01
CNGA3	1.49	0
INPP4A	0.25	1
COA5	1.52	0.02
UNC50	1.01	0
MGAT4A	0.64	0
KIAA1211L	0.24	1
TSGA10	0.41	0.11
C2orf15	1.06	0.05
C2ORF15	1.87	0
LIPT1	1.71	0
MRPL30	1.33	0.03
MITD1	1.08	0
MRPL30	1.06	0.05
LYG2	1.83	0
LYG1	1.36	0
TXNDC9	0.69	0.38
EIF5B	0.24	1
REV1	0.24	1
AFF3	0.22	1
LONRF2	0.61	0
CHST10	0.95	0
NMS	1.63	0
PDCL3	1.35	0
NPAS2	0.13	1
RPL31	0.48	0.85
TBC1D8	0.7	0
CNOT11	0.45	0.6
RNF149	0.85	0
CREG2	1.5	0
RFX8	1.08	0
MAP4K4	0.17	1
IL1R2	1.69	0
IL1R1	0.51	0.15
IL1RL2	0.99	0
IL1RL1	1.17	0
IL18R1	0.83	0
IL18RAP	0.58	0
SLC9A4	1.1	0
SLC9A2	0.51	0
MFSD9	1.53	0
TMEM182	0.79	0.06
POU3F3	0.43	0.88
MRPS9	1	0
GPR45	0.85	0.1
TGFBRAP1	0.43	0.17
AC012360.1	1.89	0.29
C2orf49	1.06	0.02
FHL2	1.13	0
NCK2	0.54	0.46
C2orf40	1.42	0
UXS1	0.61	0
RGPD3	1.72	0
AC108868.1	1.88	0.3
ST6GAL2	0.71	0.01
RGPD4	1.9	0
SLC5A7	0.56	0.02
SULT1C3	1.93	0
SULT1C2	1.33	0
SULT1C4	1.2	0
GCC2	0.41	0
LIMS1	0.77	0
RANBP2	0.14	1
CCDC138	0.91	0
EDAR	0.91	0
SH3RF3	0.53	0.03
10-Sep	1.17	0
SOWAHC	0.77	0.14
MALL	1.41	0.23
NPHP1	0.97	0
RGPD6	1.72	0.39
BUB1	0.6	0
ACOXL	1.1	0
BCL2L11	0.42	0.89
ANAPC1	0.3	0.95
MERTK	0.75	0
TMEM87B	1.03	0
FBLN7	0.96	0
ZC3H8	0.56	0.26
ZC3H6	0.41	0.19
RGPD8	1.07	0
TTL	0.52	0.36
POLR1B	0.25	1
CHCHD5	1.08	0.05
SLC20A1	0.48	0.07
NT5DC4	0.93	0
CKAP2L	0.63	0
IL1A	1.31	0
IL1B	0.65	0.13
IL37	1.73	0
IL36G	1.74	0
IL36A	1.3	0.03
IL36B	1.2	0
IL36RN	1.9	0
IL1F10	1.85	0
IL1RN	0.91	0.03
PSD4	0.37	0.42
PAX8	0.2	1
AC016745.1	NA	 NA
CBWD2	0.82	0.01
FOXD4L1	1.34	0.01
RABL2A	1.62	0
SLC35F5	0.83	0
ACTR3	0.12	1
DPP10	0.18	1
DDX18	0.45	0.14
CCDC93	0.6	0
INSIG2	0.77	0.06
EN1	0.35	0.93
MARCO	1.34	0
C1QL2	1.22	0.04
STEAP3	1.34	0
C2orf76	1.47	0.01
DBI	1.47	0
TMEM37	1.75	0
SCTR	1.14	0
PCDP1	0.91	0
TMEM177	1.28	0.01
PTPN4	0.28	1
EPB41L5	0.43	0.02
TMEM185B	0.28	0.97
RALB	1.02	0.02
INHBB	0.27	0.97
LINC01101	NA	 NA
GLI2	0.31	0.97
TFCP2L1	0.14	1
CLASP1	0.18	1
NIFK	0.96	0
TSN	0.45	0.79
CNTNAP5	0.29	0.99
GYPC	1.21	0.11
AC114783.1	1.74	0
BIN1	0.37	0.78
CYP27C1	1.08	0
ERCC3	0.79	0
MAP3K2	0.09	1
PROC	0.86	0
IWS1	0.27	1
MYO7B	0.73	0
LIMS2	0.88	0
GPR17	1.46	0
WDR33	0.21	1
SFT2D3	1.87	0.1
POLR2D	0.9	0.21
AMMECR1L	0.26	0.99
SAP130	0.16	1
UGGT1	0.49	0
HS6ST1	0.38	0.92
RAB6C	NA	 NA
POTEF	1.01	0
CCDC74B	1.4	0
SMPD4	1.02	0
MZT2B	1.56	0.06
TUBA3E	1.36	0
CCDC115	1.78	0
IMP4	0.95	0
PTPN18	0.98	0
POTEI	1.91	0
AC140481.2	1.86	0.1
CFC1	1.25	0.11
POTEJ	1.36	0
GPR148	1.84	0
AMER3	0.54	0.62
ARHGEF4	0.55	0
FAM168B	1.09	0.02
PLEKHB2	1.46	0
POTEE	0.91	0
MZT2A	1.96	0
TUBA3D	1.56	0
CCDC74A	1.86	0
C2orf27A	1.81	0.35
C2orf27B	1.92	0.07
GPR39	1.81	0
LYPD1	1.74	0
NCKAP5	0.45	0
MGAT5	0.18	1
TMEM163	0.85	0.04
ACMSD	1.12	0
CCNT2	0.35	0.93
MAP3K19	1.02	0
RAB3GAP1	0.54	0
ZRANB3	0.95	0
R3HDM1	0.33	0.86
UBXN4	0.47	0.15
LCT	0.36	0.06
MCM6	0.31	0.98
DARS	0.68	0
CXCR4	1.05	0.02
THSD7B	0.64	0
HNMT	0.8	0.02
SPOPL	0.58	0.01
NXPH2	0.36	0.93
LRP1B	0.32	0
KYNU	1.35	0
ARHGAP15	0.9	0
GTDC1	1.28	0
ZEB2	0.11	1
ACVR2A	0.17	1
ORC4	1.13	0
MBD5	0.14	1
EPC2	0.16	1
KIF5C	0.12	1
LYPD6B	1.13	0
LYPD6	1.48	0
MMADHC	0.99	0
RND3	0.28	0.97
AC023469.1	1.86	0
RBM43	1.12	0.13
NMI	1.12	0
TNFAIP6	1.23	0
RIF1	0.11	1
NEB	0.42	0
ARL5A	0.8	0.13
CACNB4	0.49	0.03
STAM2	0.73	0
FMNL2	0.29	0.99
PRPF40A	0.4	0.04
ARL6IP6	1.05	0.02
RPRM	1.74	0.15
GALNT13	0.28	0.99
KCNJ3	0.26	0.99
NR4A2	0.13	1
GPD2	0.86	0
GALNT5	0.98	0
ERMN	1.28	0
CYTIP	0.71	0
ACVR1C	0.63	0
ACVR1	0.45	0.33
UPP2	0.9	0
CCDC148	1.51	0
PKP4	0.64	0
DAPL1	1.88	0
TANC1	0.43	0
WDSUB1	1.36	0
BAZ2B	0.29	0.98
7-Mar	0.38	0.66
CD302	1.49	0
LY75-CD302	0.93	0
LY75	0.93	0
PLA2R1	0.87	0
ITGB6	1.23	0
RBMS1	0.49	0.12
TANK	0.4	0.84
PSMD14	0.3	0.98
TBR1	0.19	1
SLC4A10	0.38	0.13
DPP4	0.62	0
GCG	0.88	0.03
FAP	1.1	0
IFIH1	1.55	0
GCA	1.07	0
KCNH7	0.37	0.28
FIGN	0.28	0.99
GRB14	0.5	0.05
COBLL1	0.43	0.05
SLC38A11	1.7	0
SCN3A	0.17	1
SCN2A	0.13	1
CSRNP3	0.45	0.5
GALNT3	0.86	0
TTC21B	0.85	0
SCN1A	0.07	1
SCN9A	0.71	0
SCN7A	0.78	0
XIRP2	0.93	0
B3GALT1	0.92	0.01
STK39	0.23	1
CERS6	0.51	0.04
NOSTRIN	1.09	0
SPC25	0.76	0.03
G6PC2	1.8	0
ABCB11	0.64	0
DHRS9	1.62	0
LRP2	0.25	1
BBS5	0.89	0
RP11-724O16.1	0.74	0
KLHL41	0.8	0
FASTKD1	1.37	0
PPIG	0.32	0.96
CCDC173	1.18	0
PHOSPHO2	1.61	0
KLHL23	0.65	0
SSB	0.54	0.09
METTL5	1.26	0
UBR3	0.13	1
MYO3B	0.99	0
LINC01124	NA	 NA
SP5	0.59	0.52
ERICH2	1.41	0.01
GAD1	0.47	0.05
GORASP2	0.38	0.88
TLK1	0.17	1
METTL8	1.33	0
DCAF17	0.82	0
CYBRD1	0.89	0.01
DYNC1I2	0.77	0
SLC25A12	0.42	0.22
HAT1	0.39	0.84
METAP1D	1.11	0
DLX1	0.29	0.96
DLX2	0.25	0.98
ITGA6	0.53	0
PDK1	0.81	0
RAPGEF4	0.29	0.99
MLTK	0.68	0
CDCA7	0.58	0.01
SP3	0.15	1
OLA1	0.58	0.06
AC018470.1	0.96	0.01
SP9	0.34	0.94
CIR1	0.99	0
SCRN3	1.14	0
GPR155	0.97	0
WIPF1	0.39	0.9
CHRNA1	1.08	0
CHN1	0.57	0.03
ATF2	0.28	0.99
ATP5G3	0.83	0.26
KIAA1715	0.66	0
EVX2	0.68	0.4
HOXD13	0.95	0.01
HOXD12	1.53	0
HOXD11	1.53	0
HOXD10	0.76	0.06
HOXD9	1.07	0.02
HOXD8	0.85	0.11
HOXD3	0.55	0.44
HOXD4	1.06	0.01
HOXD1	1.21	0
MTX2	0.68	0.02
HNRNPA3	0.23	1
NFE2L2	0.66	0
AGPS	0.12	1
TTC30B	1.13	0
